split,emotion,path,hash
train,sad,..\dataset\raw\train\sad\Training_66485665.jpg,f2560d1b3034e951625ca1480d13a902
train,fear,..\dataset\raw\train\fear\Training_54416420.jpg,2f7c56d8118c39b7708eca9189103873
train,happy,..\dataset\raw\train\happy\Training_26579056.jpg,e4555b3bf534dcb663a12e59a885f9f3
train,angry,..\dataset\raw\train\angry\Training_78481625.jpg,df8b746ce6defa3399f7be179d95a27b
train,sad,..\dataset\raw\train\sad\Training_91732030.jpg,e7e0de761f7c5e87fe7f53b015c6ddf6
train,happy,..\dataset\raw\train\happy\Training_9240184.jpg,f75d8676821301a7b88a56ff6c696154
train,sad,..\dataset\raw\train\sad\Training_70296904.jpg,8746b4fb292b175d17025162b1339148
train,happy,..\dataset\raw\train\happy\Training_29050965.jpg,d608e585220ffed00e7aa0e39bbaf914
train,angry,..\dataset\raw\train\angry\Training_53195572.jpg,3e819ca398b2fc95546ae7930feedfc7
train,fear,..\dataset\raw\train\fear\Training_9252013.jpg,caad03e205cc7ce987ba481986d9afeb
train,neutral,..\dataset\raw\train\neutral\Training_78455838.jpg,8fb4003e0b476df8bc80a7babad3d6d9
train,happy,..\dataset\raw\train\happy\Training_11168767.jpg,f0d6893b95e5a8303b01aa5c3b7d70d1
train,fear,..\dataset\raw\train\fear\Training_58123485.jpg,360f82581f3e296db0bc53d6f0d7d837
train,neutral,..\dataset\raw\train\neutral\Training_10214759.jpg,473e76c8fb838973f7b9e599dd71797b
train,happy,..\dataset\raw\train\happy\Training_61335889.jpg,6e0c01a29e8480fba788774f52226c8a
train,surprise,..\dataset\raw\train\surprise\Training_30997195.jpg,271e3d8e7191e15b716e77d43fd02372
train,neutral,..\dataset\raw\train\neutral\Training_16217267.jpg,c6f90575ff119d79546fce0911a2efdf
train,angry,..\dataset\raw\train\angry\Training_64059478.jpg,a90162db1498455d1d1c8a5626b94a6d
train,happy,..\dataset\raw\train\happy\Training_9011924.jpg,3633493877f24e350871b50f319f559d
train,sad,..\dataset\raw\train\sad\Training_45194959.jpg,2e0ef293f6bb5314c8fbb0992a05b89e
train,surprise,..\dataset\raw\train\surprise\Training_56702604.jpg,b95cfcfa30f01af3855373999d59df85
train,neutral,..\dataset\raw\train\neutral\Training_27518074.jpg,2d0459771545b2ac07221bc1d1c74975
train,angry,..\dataset\raw\train\angry\Training_25593873.jpg,e38e2e5271d6a99e56b4c31503462495
train,happy,..\dataset\raw\train\happy\Training_66391852.jpg,8ff66abc4903cc0979abf2c67eb5bbaa
train,happy,..\dataset\raw\train\happy\Training_49022061.jpg,2fd67c1556e4e176d831ef6aba9c90a6
train,happy,..\dataset\raw\train\happy\Training_70578950.jpg,aae09ed24dda4a16f6ba57e00d61843b
train,happy,..\dataset\raw\train\happy\Training_58659314.jpg,1d83acc2ed001bd56e1d940b67994a4b
train,sad,..\dataset\raw\train\sad\Training_62891609.jpg,bb27ce024911a59e3a249ffc21bc3b9f
train,fear,..\dataset\raw\train\fear\Training_61468663.jpg,e23d7729198cbf11c02edb2501f3eb72
train,happy,..\dataset\raw\train\happy\Training_96869926.jpg,0637590ea0d55e1accce1cfbb3efa42b
train,happy,..\dataset\raw\train\happy\Training_81275323.jpg,614415eee7b0a9c3cd344ce217516deb
train,happy,..\dataset\raw\train\happy\Training_11717470.jpg,c15ff9e0e7ccbab021a47e1c019d6633
train,neutral,..\dataset\raw\train\neutral\Training_33155765.jpg,549cb8d0d9807ff329389f12eefa8e53
train,happy,..\dataset\raw\train\happy\Training_36292934.jpg,d601a6dd7d27a30eb530516796ec5777
train,fear,..\dataset\raw\train\fear\Training_21516738.jpg,7c9cbec6d123cd79a83f2d1b4bfa876e
train,happy,..\dataset\raw\train\happy\Training_666810.jpg,01d929cc7323e401e20fb9c2c085bb01
train,happy,..\dataset\raw\train\happy\Training_62786058.jpg,4f56380df65570d4bbfe44698e13cdc8
train,neutral,..\dataset\raw\train\neutral\Training_1247674.jpg,04d8513484782f19eab48c2e8f260273
train,happy,..\dataset\raw\train\happy\Training_57128127.jpg,0cdeb5ed613718f9eba100bb97547694
train,angry,..\dataset\raw\train\angry\Training_75000207.jpg,9ac9ce41441a4296a827a019572f7cd2
train,fear,..\dataset\raw\train\fear\Training_66794307.jpg,cdd2916e95436820e3d1357d445867ca
train,angry,..\dataset\raw\train\angry\Training_43519334.jpg,9d340be07bb28d3e43e93d346d67b133
train,sad,..\dataset\raw\train\sad\Training_94593990.jpg,e8616b6a7e476fb2ee93f5e977477918
train,angry,..\dataset\raw\train\angry\Training_85156837.jpg,2eef79d9f2e20cf1c7e1f62e98283f55
train,neutral,..\dataset\raw\train\neutral\Training_79893379.jpg,e930ae1ec5f4a83e364bc3b2040ad02a
train,happy,..\dataset\raw\train\happy\Training_60193102.jpg,6420de94b17481498f609348c0e56c6d
train,sad,..\dataset\raw\train\sad\Training_50385156.jpg,baaaaae0b995fb490e2b9c1f23b1f8fd
train,fear,..\dataset\raw\train\fear\Training_40413095.jpg,7965883f288c894d8c24fedabbb374bc
train,happy,..\dataset\raw\train\happy\Training_45809043.jpg,7f0822a551068c579cd8dde84d6b5070
train,happy,..\dataset\raw\train\happy\Training_75082441.jpg,a23031cd2e5bcad964dc1df01027b521
train,sad,..\dataset\raw\train\sad\Training_33711262.jpg,81b677e7102a67434389a86a0aced006
train,neutral,..\dataset\raw\train\neutral\Training_20519586.jpg,e0d5f0d7b17881e524c88007e82b5370
train,neutral,..\dataset\raw\train\neutral\Training_12115723.jpg,811f79b3ba27f7f06a0f2b720a78aae6
train,fear,..\dataset\raw\train\fear\Training_85417450.jpg,d0c1c1501d5452f7ee228b253062543d
train,neutral,..\dataset\raw\train\neutral\Training_27241675.jpg,9ee6bf918edf7da7b12a7cb3781744ee
train,happy,..\dataset\raw\train\happy\Training_8372977.jpg,5faca9a4c5c0dc7121932cd45a6e3ecf
train,fear,..\dataset\raw\train\fear\Training_53419711.jpg,65cc083c75c4e0de7f533de4c9637fe8
train,fear,..\dataset\raw\train\fear\Training_91519876.jpg,bc40474ffbe3ccc54436d5075e4280e7
train,happy,..\dataset\raw\train\happy\Training_89794357.jpg,8c34449683b28eaf6a78af9658e0ea03
train,surprise,..\dataset\raw\train\surprise\Training_52295004.jpg,4cd066f24d2fe64726af7530ede08be5
train,fear,..\dataset\raw\train\fear\Training_57427285.jpg,38beda2442fce71be1b9b76d196a8f18
train,fear,..\dataset\raw\train\fear\Training_36968486.jpg,6ffa6e5cde4c12b25cc41815607f9777
train,neutral,..\dataset\raw\train\neutral\Training_59971421.jpg,349ce9d0baa5fb13585685dcbb249fe3
train,happy,..\dataset\raw\train\happy\Training_31424340.jpg,9103f3745bcd1356b0794f6b8c64aa51
train,angry,..\dataset\raw\train\angry\Training_88371146.jpg,a2ab4b7404276ba397dea16430f66582
train,sad,..\dataset\raw\train\sad\Training_33635899.jpg,2b987a593c1934c66aa60ecf6ef3a000
train,sad,..\dataset\raw\train\sad\Training_8884164.jpg,adb07074f0ec5707197e23a7653b33c1
train,angry,..\dataset\raw\train\angry\Training_1133567.jpg,df9f513515fc347025110b13975134f8
train,neutral,..\dataset\raw\train\neutral\Training_64310277.jpg,e94d6297090749e69544741ef12ce1ef
train,happy,..\dataset\raw\train\happy\Training_16074689.jpg,326d32c5a53612b31bd3e19cbc56eb5e
train,happy,..\dataset\raw\train\happy\Training_65684354.jpg,5fa00979f09f6a5c09d1a6fbc0525ad2
train,sad,..\dataset\raw\train\sad\Training_4570471.jpg,ec9be6da0341088ecd3fa8ec94dcde08
train,neutral,..\dataset\raw\train\neutral\Training_4912295.jpg,ac15a02de4bf29b8e0f7bf4293f69822
train,happy,..\dataset\raw\train\happy\Training_2190921.jpg,27ff9bff099ab531fe9946a821e45a23
train,happy,..\dataset\raw\train\happy\Training_74326986.jpg,67e62ef1e80bf513592743954d01943e
train,neutral,..\dataset\raw\train\neutral\Training_11802360.jpg,2ece12208a3740a57e4bfb03e42d9285
train,angry,..\dataset\raw\train\angry\Training_16728602.jpg,71c4a23c6296ee6b1fb6897195080f02
train,neutral,..\dataset\raw\train\neutral\Training_64661651.jpg,99751c4e38432ab541f2e6d85939a196
train,neutral,..\dataset\raw\train\neutral\Training_20131945.jpg,3c7e619492c58d769555a2f60a30c318
train,fear,..\dataset\raw\train\fear\Training_59625554.jpg,d5679584177deb5b48f0aae42f1023eb
train,neutral,..\dataset\raw\train\neutral\Training_56014894.jpg,f14e6c3c3adeaf8641d91864c1a07fbb
train,surprise,..\dataset\raw\train\surprise\Training_83416366.jpg,85dd54a0050673c6fdb76b9e10be3e69
train,angry,..\dataset\raw\train\angry\Training_95667267.jpg,7ea97a86d260084ae46c292349db378e
train,happy,..\dataset\raw\train\happy\Training_87931877.jpg,7e289525c9d94ff568faf3ee06165041
train,happy,..\dataset\raw\train\happy\Training_6704018.jpg,d3dd7ca7f5a89e2b448c780b9188eab8
train,neutral,..\dataset\raw\train\neutral\Training_95157473.jpg,c752daa1406bed69c1ec933112c0a8be
train,sad,..\dataset\raw\train\sad\Training_19741801.jpg,e4bbd8dbcffb777290eee1d997c1283d
train,surprise,..\dataset\raw\train\surprise\Training_44186778.jpg,b4fd627cb53e6500561ac72cb9e7c00f
train,sad,..\dataset\raw\train\sad\Training_17328904.jpg,f96e85cb765b44b51a3c2917ea84f1dd
train,happy,..\dataset\raw\train\happy\Training_17411600.jpg,abd10c374ccf0769416cd01d1ca8097c
train,happy,..\dataset\raw\train\happy\Training_1142887.jpg,70c62ab4e2f95187c622167f42b41d14
train,neutral,..\dataset\raw\train\neutral\Training_199533.jpg,7e98195a9a26c0dd21ed6fd52fb9ee33
train,fear,..\dataset\raw\train\fear\Training_64040897.jpg,f38c26edd0f07b9158ed48d0345811a6
train,happy,..\dataset\raw\train\happy\Training_51498314.jpg,196a0d2cdb807ee49f1e1099ba4978a6
train,angry,..\dataset\raw\train\angry\Training_81698292.jpg,155c510a58d4a2a759fe76a07ad66524
train,angry,..\dataset\raw\train\angry\Training_38093449.jpg,affdfec9c7938a63ac1190f3f4b135ed
train,happy,..\dataset\raw\train\happy\Training_93986322.jpg,6f7cc1351d827d37991851845d41412e
train,angry,..\dataset\raw\train\angry\Training_70026029.jpg,a21af4d0c69dbb0848c2de1ac21f0187
train,angry,..\dataset\raw\train\angry\Training_10595751.jpg,e1ed8405f21df0e9816e2f1c86689a48
train,happy,..\dataset\raw\train\happy\Training_87656721.jpg,a7b85a0ea75e660ab636a9e59eb8462e
train,neutral,..\dataset\raw\train\neutral\Training_58421170.jpg,fca2fb631b10dfd075c467414a57d332
train,sad,..\dataset\raw\train\sad\Training_88130732.jpg,e3c199f3596391f4f0c66a3efb02ea97
train,sad,..\dataset\raw\train\sad\Training_40264904.jpg,c498ae0dd1916f0acfea221c67cb5e8e
train,neutral,..\dataset\raw\train\neutral\Training_5953152.jpg,d5ac91b1a4316fde359653c6e1b44337
train,fear,..\dataset\raw\train\fear\Training_45234687.jpg,e3da07a2f4d3e3eb0f52e2ea54c48178
train,neutral,..\dataset\raw\train\neutral\Training_74697880.jpg,76d90620f05c6b2631ee9f1455589a52
train,neutral,..\dataset\raw\train\neutral\Training_78186896.jpg,b54918904f55ee32dc1ceda6264ad1c8
train,fear,..\dataset\raw\train\fear\Training_85912881.jpg,ddbb3241538d2a28c65857d698041edf
train,happy,..\dataset\raw\train\happy\Training_25659765.jpg,a6eb2ea26f9e0be17b38d6f3e3e358a3
train,fear,..\dataset\raw\train\fear\Training_40669970.jpg,8c3da5d41790ba089bdb2508efac52e2
train,fear,..\dataset\raw\train\fear\Training_4233458.jpg,2319ca0d60746026da2759b56981d4f5
train,happy,..\dataset\raw\train\happy\Training_29075135.jpg,ba982c75e41de617a289ffaac877028a
train,angry,..\dataset\raw\train\angry\Training_13196511.jpg,a1e247902e83f4fe1327f173c202be4b
train,happy,..\dataset\raw\train\happy\Training_84566661.jpg,e994a502c7262a1c2aafacdb7f401621
train,angry,..\dataset\raw\train\angry\Training_84548986.jpg,c68a5e46686c6490dba8e0340ef15ef1
train,neutral,..\dataset\raw\train\neutral\Training_78224397.jpg,a43b18195979b41248732f38ca9116ac
train,happy,..\dataset\raw\train\happy\Training_90878504.jpg,881d1fa7891880228c8f1422ad23c7aa
train,neutral,..\dataset\raw\train\neutral\Training_45256223.jpg,0aa1d99c96521c23b5bd1e22566be2be
train,fear,..\dataset\raw\train\fear\Training_57974739.jpg,70405555775a16186e012465452fb554
train,neutral,..\dataset\raw\train\neutral\Training_41552509.jpg,387ea2a53daa322e4914db02f2d0727a
train,neutral,..\dataset\raw\train\neutral\Training_5727129.jpg,a9621a4dfc8627b802b06c0110bf9db6
train,angry,..\dataset\raw\train\angry\Training_11350676.jpg,c3906033aef97c022f5a5ba68feb60da
train,happy,..\dataset\raw\train\happy\Training_4137746.jpg,77b659e8c856c6ffdcb2b3582d8b460e
train,sad,..\dataset\raw\train\sad\Training_36386615.jpg,6dc8d9b499f0efd18edde715af6b373a
train,happy,..\dataset\raw\train\happy\Training_84370414.jpg,6ed891f829d486deb7d6e299b7b64b34
train,happy,..\dataset\raw\train\happy\Training_43552445.jpg,0163996eb0a660bb566076b7573c34ab
train,angry,..\dataset\raw\train\angry\Training_29902276.jpg,0aa13b9621476b033a5bba0998d0cd94
train,fear,..\dataset\raw\train\fear\Training_83259569.jpg,191ddaf8c95c82e51cc781cce4d18f96
train,neutral,..\dataset\raw\train\neutral\Training_62833505.jpg,906f21452a09c76c90cf4db31a14c2df
train,happy,..\dataset\raw\train\happy\Training_16560559.jpg,038ba17e8b32d6019cb1b50f6ab712ee
train,neutral,..\dataset\raw\train\neutral\Training_22497045.jpg,1b5e1ae57b6b68f093177208183c3abd
train,happy,..\dataset\raw\train\happy\Training_49830552.jpg,0d6b48d68f3e7da2630b1ee3d1007291
